numero_questao,link,banca_orgao,assunto,enunciado,alternativas,gabarito
1,www.tecconcursos.com.br/questoes/3440688,"CEBRASPE (CESPE) - AJ (STM)/STM/Administrativa/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Direito Constitucional: Conceito e Fontes. Estado, Povo, Território, etc.","No sistema presidencialista, o presidente da República exerce exclusivamente as funções de chefe de Estado.",Certo;Errado,Errado
2,www.tecconcursos.com.br/questoes/3552591,CEBRASPE (CESPE) - EPF/PF/2025,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","No Brasil, há identidade entre o chefe de governo e o chefe de Estado, em razão de se adotar o presidencialismo.",Certo;Errado,Certo
3,www.tecconcursos.com.br/questoes/3118202,CEBRASPE (CESPE) - Arqt e Urb (FNDE)/FNDE/2024,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","No que concerne à classificação das constituições, é correto afirmar que o Brasil adotou, no ano de 1988, um modelo de Constituição eclética, baseada em uma única ideologia política.",Certo;Errado,Errado
4,www.tecconcursos.com.br/questoes/3450417,"CEBRASPE (CESPE) - TJ (STM)/STM/Administrativa/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","Em países cuja Constituição é flexível, não há poder constituinte instituído de revisão.",Certo;Errado,Certo
5,www.tecconcursos.com.br/questoes/2503609,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","No sentido sociológico, a Constituição é uma decisão política fundamental.",Certo;Errado,Errado
6,www.tecconcursos.com.br/questoes/3249796,CEBRASPE (CESPE) - AJ TRF6/TRF 6/Administrativa/Sem Especialidade/2025,Direito Constitucional (CF/1988 e Doutrina) - Eficácia das Normas Constitucionais,"No Brasil, todo poder emana do povo, que poderá exercê-lo diretamente.",Certo;Errado,Certo
7,www.tecconcursos.com.br/questoes/2609057,CEBRASPE (CESPE) - Mus (FUB)/FUB/2023,Direito Constitucional (CF/1988 e Doutrina) - Dos Princípios Fundamentais da Constituição (arts. 1º a 4º da CF/1988),"Em razão de sua natureza personalíssima, o direito fundamental de acesso a informações restringe-se às informações relacionadas ao interesse particular do requerente.",Certo;Errado,Errado
8,www.tecconcursos.com.br/questoes/3501280,CEBRASPE (CESPE) - Tec (FUB)/FUB/Laboratório/Análise Clínica/2025,Direito Constitucional (CF/1988 e Doutrina) - Características (Direitos Fundamentais),"Em razão do princípio da legalidade, os direitos e garantias fundamentais devem estar expressos no texto constitucional ou em tratado internacional em que a República Federativa do Brasil seja parte.",Certo;Errado,Errado
9,www.tecconcursos.com.br/questoes/2841466,CEBRASPE (CESPE) - Ana Min (MPE TO)/MPE TO/Especializado/Administração de Banco de Dados/2024,Direito Constitucional (CF/1988 e Doutrina) - Características (Direitos Fundamentais),"Em razão da centralidade dos direitos fundamentais no regime constitucional, eles não são passíveis de restrição por normas infraconstitucionais.",Certo;Errado,Errado
10,www.tecconcursos.com.br/questoes/2369212,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,Direito Constitucional (CF/1988 e Doutrina) - Características (Direitos Fundamentais),"Em razão dos princípios da reserva legal e da anterioridade da lei penal, o reconhecimento de uma conduta como crime exige tanto sua definição legal como crime quanto a previsão legal das penas a ele cominadas.",Certo;Errado,Certo
11,www.tecconcursos.com.br/questoes/3499542,CEBRASPE (CESPE) - Assist (FUB)/FUB/Administração/2025,Direito Constitucional (CF/1988 e Doutrina) - Dos Direitos e Deveres Individuais e Coletivos (art. 5º da CF/1988),"No que diz respeito às espécies de penas, a Constituição Federal de 1988 admite a privação ou restrição de liberdade, porém veda a interdição de direitos.",Certo;Errado,Errado
12,www.tecconcursos.com.br/questoes/2779633,CEBRASPE (CESPE) - Adv (CAU BR)/CAU BR/2024,Direito Constitucional (CF/1988 e Doutrina) - Dos Direitos e Deveres Individuais e Coletivos (art. 5º da CF/1988),,Certo;Errado,
