numero_questao,link,banca_orgao,assunto,enunciado,alternativas,gabarito
1,www.tecconcursos.com.br/questoes/3440688,"CEBRASPE (CESPE) - AJ (STM)/STM/Administrativa/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Direito Constitucional: Conceito e Fontes. Estado, Povo, Território, etc.","1) Em relação à supremacia da Constituição Federal e ao poder constituinte, julgue o item seguinte. A Constituição Federal é formalmente suprema, pois disciplina questões fundamentais para o exercício do poder de uma sociedade. Certo Errado",Certo;Errado,Errado
2,www.tecconcursos.com.br/questoes/3495833,CEBRASPE (CESPE) - Aud (FUB)/FUB/2025,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 2) Julgue o item a seguir, no que se refere a diversos aspectos do direito constitucional. Um exemplo da utilização do mecanismo de freios e contrapesos ocorre quando o Senado Federal aprova um nome indicado para ministro do Supremo Tribunal Federal. Certo Errado",Certo;Errado,Certo
3,www.tecconcursos.com.br/questoes/3546935,CEBRASPE (CESPE) - PCF/PF/Área 1/2025,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 3) Com base no disposto na Constituição Federal de 1988 (CF) e em seus princípios e normas, julgue o item a seguir. No sistema presidencialista, o presidente da República exerce exclusivamente as funções de chefe de Estado. Certo Errado",Certo;Errado,Errado
4,www.tecconcursos.com.br/questoes/3552591,CEBRASPE (CESPE) - EPF/PF/2025,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 4) Julgue o item a seguir, a respeito de direitos e garantias fundamentais e forma e sistema de governo. A forma de governo diz respeito à relação entre os Poderes Executivo e Legislativo, ao passo que o sistema de governo refere-se à origem e à titularidade do poder político. Certo Errado",Certo;Errado,Errado
5,www.tecconcursos.com.br/questoes/3625422,CEBRASPE (CESPE) - Proc Jur (Andradina)/Pref Andradina/2025,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 5) Julgue o seguinte item, acerca de aspectos diversos do direito constitucional. O poder de veto atribuído ao chefe do Poder Executivo representa importante mecanismo para o adequado funcionamento do sistema de freios e contrapesos, em observância ao princípio da separação dos poderes. Certo Errado",Certo;Errado,Certo
6,www.tecconcursos.com.br/questoes/2875889,CEBRASPE (CESPE) - APO (MPO)/MPO/Geral/2024,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 6) Acerca da evolução do Estado moderno, dos modelos de gestão pública e do contexto de atuação política e gestão pública, julgue o item seguinte. A soberania é elemento essencial para a existência do Estado, devendo ser aderente ao território estatal, relacionado ao elemento território, e ao vínculo nacional, relacionado ao elemento povo. Certo Errado",Certo;Errado,Certo
7,www.tecconcursos.com.br/questoes/3101805,CEBRASPE (CESPE) - ERSPT (ANATEL)/ANATEL/Contabilidade (Ciências Contábeis)/2024,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 7) Com base nas disposições da CF acerca da forma e do sistema de governo, bem como da defesa do Estado e das instituições democráticas, julgue o item a seguir. A forma republicana de governo é uma cláusula pétrea e o sistema presidencialista de governo, um princípio constitucional sensível. Certo Errado",Certo;Errado,Errado
8,www.tecconcursos.com.br/questoes/3118198,CEBRASPE (CESPE) - Arqt e Urb (FNDE)/FNDE/2024,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 8) Acerca do Poder Executivo, julgue os itens a seguir, no que se refere à forma e ao sistema de governo. No Brasil, há identidade entre o chefe de governo e o chefe de Estado, em razão de se adotar o presidencialismo. Certo Errado",Certo;Errado,Certo
9,www.tecconcursos.com.br/questoes/3118202,CEBRASPE (CESPE) - Arqt e Urb (FNDE)/FNDE/2024,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 9) Acerca do Poder Executivo, julgue os itens a seguir, no que se refere à forma e ao sistema de governo. O Brasil adota a república como sistema de governo, uma vez que há alternância da chefia de governo por intermédio de eleições periódicas. Certo Errado",Certo;Errado,Errado
10,www.tecconcursos.com.br/questoes/3202212,"CEBRASPE (CESPE) - AJ TSE/TSE/Administrativa/""Sem Especialidade""/2024","Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 10) No que se refere aos princípios fundamentais da Constituição Federal de 1988 (CF) e à aplicabilidade das normas constitucionais, julgue o item que se segue. É a eletividade dos cargos públicos a característica que define de forma essencial o regime republicano. Certo Errado",Certo;Errado,Errado
11,www.tecconcursos.com.br/questoes/2367836,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 11) A respeito do princípio republicano, da hermenêutica constitucional, das súmulas vinculantes e das limitações ao poder constituinte, julgue o item a seguir. A noção de República como forma de governo do Brasil está intrinsecamente ligada à ideia de igualdade e de ausência de privilégios de classe e nascimento. Certo Errado",Certo;Errado,Certo
12,www.tecconcursos.com.br/questoes/2497801,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 12) No que diz respeito à democracia, aos tratados e convenções internacionais sobre direitos humanos e ao estatuto constitucional dos estados brasileiros, julgue o item seguinte. Na democracia representativa brasileira, os representantes eleitos não exercem o chamado mandato imperativo, possuindo liberdade para votar e se manifestar sobre quaisquer assuntos durante sua investidura. Certo Errado",Certo;Errado,Certo
13,www.tecconcursos.com.br/questoes/2503611,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 13) Acerca do federalismo, dos direitos fundamentais e dos direitos políticos, julgue o item a seguir. Como os municípios integram a estrutura da Federação brasileira, representantes seus compõem o Poder Legislativo federal, de modo a contribuir na formação da vontade legislativa da União. Certo Errado",Certo;Errado,Errado
14,www.tecconcursos.com.br/questoes/2520681,CEBRASPE (CESPE) - ATM (Pref Fortaleza)/Pref Fortaleza/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 14) Considerando o conceito de Estado contemporâneo, julgue o item a seguir. Um sistema de governo compreende as relações institucionais estabelecidas entre os órgãos integrantes dos Poderes Legislativo e Executivo, bem como os aspectos referentes à investidura e à continuação ou destituição dos governantes do poder. Certo Errado",Certo;Errado,Certo
15,www.tecconcursos.com.br/questoes/2589000,CEBRASPE (CESPE) - AFM (Pref Fortaleza)/Pref Fortaleza/Administração/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 15) Acerca de conceitos afetos ao Estado contemporâneo, considerando as teorias das formas e dos sistemas de governo, julgue o item a seguir. Sistema de governo corresponde genericamente ao tipo de relações institucionais mantidas entre os órgãos integrantes dos Poderes Legislativo e Executivo, envolvendo também aspectos relativos à investidura e à manutenção ou destituição dos governantes do poder. Certo Errado",Certo;Errado,Certo
16,www.tecconcursos.com.br/questoes/2637602,CEBRASPE (CESPE) - Ana TI (DATAPREV)/DATAPREV/Advocacia/2023,"Direito Constitucional (CF/1988 e Doutrina) - Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e","Contrapesos 16) Em relação ao tratamento constitucional da União e do Poder Legislativo, julgue o item a seguir. Devido ao princípio federativo adotado pelo Brasil, o chefe do Poder Executivo federal não desempenha funções que possam repercutir nos interesses dos estados- membros. Certo Errado",Certo;Errado,Errado
17,www.tecconcursos.com.br/questoes/2503607,CEBRASPE (CESPE) - Del Pol (PC AL)/PC AL/2023,Direito Constitucional (CF/1988 e Doutrina) - Constitucionalismo e Neoconstitucionalismo,"17) A respeito das fontes e das classificações das constituições, do poder constituinte e do controle de constitucionalidade, julgue o item que se segue. Uma das características do positivismo, de um ponto de vista estritamente jurídico, consiste em afastar a religião como fonte do direito constitucional. Certo Errado",Certo;Errado,Certo
18,www.tecconcursos.com.br/questoes/2369218,CEBRASPE (CESPE) - Prom Jus (MPE SC)/MPE SC/2023,"Direito Constitucional (CF/1988 e Doutrina) - Princípios Constitucionais Sensíveis, Estabelecidos e Extensíveis","18) Considerando o princípio da dignidade da pessoa humana e o rol de direitos fundamentais estabelecido na CF, além da doutrina e da jurisprudência a respeito da matéria, julgue o item subsequente. Um dos principais desdobramentos do princípio da dignidade da pessoa humana apontado pela doutrina é o princípio do mínimo existencial, o qual estabelece a obrigatoriedade de o Estado prover a todos os cidadãos condições materiais mínimas de sobrevivência. Certo Errado",Certo;Errado,Certo
19,www.tecconcursos.com.br/questoes/3606593,CEBRASPE (CESPE) - OFA (TJ PA)/TJ PA/2025,Direito Constitucional (CF/1988 e Doutrina) - Histórico das Constituições no Brasil,"19) Acerca dos princípios fundamentais da Constituição Federal de 1988 (CF), julgue o item seguinte. Os princípios fundamentais previstos no título I da CF representam uma inovação no constitucionalismo brasileiro, uma vez que as Constituições anteriores não continham dispositivos com estrutura principiológica. Certo Errado",Certo;Errado,Errado
20,www.tecconcursos.com.br/questoes/3082939,CEBRASPE (CESPE) - Diplomata/IRBr/2024,Direito Constitucional (CF/1988 e Doutrina) - Histórico das Constituições no Brasil,"20) A República Liberal (1945-1964) foi um período marcado pela inclusão de novos setores da sociedade no cenário político e a intensificação das disputas por diferentes projetos de sociedade e de cidadania. A respeito desse período, julgue (C ou E) o item a seguir. A Constituição de 1946 reconheceu a educação básica como direito, estabeleceu a gratuidade do ensino primário, bem como definiu os percentuais da arrecadação fiscal que deveriam ser investidos no setor educacional pela União, estados e municípios. Certo Errado",Certo;Errado,Certo
21,www.tecconcursos.com.br/questoes/3082977,CEBRASPE (CESPE) - Diplomata/IRBr/2024,Direito Constitucional (CF/1988 e Doutrina) - Histórico das Constituições no Brasil,"21) Considerando o período do Regime Militar no Brasil, julgue (C ou E) o item a seguir. A Constituição de 1967 restabeleceu a pena de morte no Brasil para condenados por guerra revolucionária ou subversiva. Certo Errado",Certo;Errado,Errado
22,www.tecconcursos.com.br/questoes/2497790,CEBRASPE (CESPE) - Proc (PGE RR)/PGE RR/2023,Direito Constitucional (CF/1988 e Doutrina) - Histórico das Constituições no Brasil,"22) No que diz respeito às assembleias nacionais constituintes, à rigidez constitucional, ao direito constitucional intertemporal e à mutação constitucional, julgue o seguinte item. A Assembleia Nacional Constituinte de 1987-1988, no que se refere à forma de convocação, seguiu modelo ortodoxo, por haver sido convocada em ato jurídico autônomo, inovador, desconectado da ordem jurídica pretérita. Certo Errado",Certo;Errado,Errado
23,www.tecconcursos.com.br/questoes/3341604,CEBRASPE (CESPE) - AJ TRT10/TRT 10/Administrativa/Contabilidade/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","23) Considerando as disposições da Constituição Federal de 1988 (CF) e a doutrina e jurisprudência correlatas, julgue o item a seguir. Quanto à sua classificação, a CF pode ser considerada materialmente constitucional e codificada. Certo Errado",Certo;Errado,Errado
24,www.tecconcursos.com.br/questoes/3348031,"CEBRASPE (CESPE) - TJ TRT10/TRT 10/Administrativa/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","24) Julgue o item a seguir relativo à aplicabilidade das normas constitucionais, às classificações da Constituição Federal de 1988 e aos direitos e garantias fundamentais. No que concerne à classificação das constituições, é correto afirmar que o Brasil adotou, no ano de 1988, um modelo de Constituição eclética, baseada em uma única ideologia política. Certo Errado",Certo;Errado,Errado
25,www.tecconcursos.com.br/questoes/3450417,"CEBRASPE (CESPE) - TJ (STM)/STM/Administrativa/""Sem Especialidade""/2025","Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","25) Em relação à tipologia das constituições, ao poder constituinte e aos princípios de interpretação constitucional, julgue o item a seguir. Quanto à forma, as constituições podem ser classificadas como promulgadas, quando há a participação popular na sua formação, ou como outorgadas, quando são impostas pelo agente que detém poder político de fato. Certo Errado",Certo;Errado,Errado
26,www.tecconcursos.com.br/questoes/3495086,CEBRASPE (CESPE) - Adm (FUB)/FUB/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","26) Em relação à classificação das constituições e aos direitos e às garantias fundamentais previstos na Constituição Federal de 1988 (CF), julgue o item a seguir. Classifica-se como material a constituição cujas regras sejam de natureza essencialmente constitucional, ainda que não estejam reunidas e formalizadas em um mesmo documento. Certo Errado",Certo;Errado,Certo
27,www.tecconcursos.com.br/questoes/3499534,CEBRASPE (CESPE) - Assist (FUB)/FUB/Administração/2025,"Direito Constitucional (CF/1988 e Doutrina) - Constituição: Conceito, Estrutura, Supremacia e Classificação","27) Acerca da classificação da Constituição e dos princípios fundamentais, julgue o item a seguir. A Constituição da República Federativa do Brasil classifica-se como semirrígida, pois apenas parte dela pode ser modificada, dada a existência de cláusulas pétreas. Certo Errado",Certo;Errado,Errado
