numero,id_tec,link,banca_orgao,materia,assunto,comando,enunciado,gabarito
1,3440688,www.tecconcursos.com.br/questoes/3440688,"CEBRASPE (CESPE) - AJ (STM)/STM/Administrativa/""Sem Especialidade""/2025",Direito Constitucional (CF/1988 e Doutrina),"Direito Constitucional: Conceito e Fontes. Estado, Povo, Território, etc.","Em relação à supremacia da Constituição Federal e ao poder constituinte, julgue o item seguinte.","A Constituição Federal é formalmente suprema, pois disciplina questões fundamentais para o exercício do poder de uma sociedade.",Errado
2,3495833,www.tecconcursos.com.br/questoes/3495833,CEBRASPE (CESPE) - Aud (FUB)/FUB/2025,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Julgue o item a seguir, no que se refere a diversos aspectos do direito constitucional.",Um exemplo da utilização do mecanismo de freios e contrapesos ocorre quando o Senado Federal aprova um nome indicado para ministro do Supremo Tribunal Federal.,Certo
3,3546935,www.tecconcursos.com.br/questoes/3546935,CEBRASPE (CESPE) - PCF/PF/Área 1/2025,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Com base no disposto na Constituição Federal de 1988 (CF) e em seus princípios e normas, julgue o item a seguir.","No sistema presidencialista, o presidente da República exerce exclusivamente as funções de chefe de Estado.",Errado
4,3552591,www.tecconcursos.com.br/questoes/3552591,CEBRASPE (CESPE) - EPF/PF/2025,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Julgue o item a seguir, a respeito de direitos e garantias fundamentais e forma e sistema de governo.","A forma de governo diz respeito à relação entre os Poderes Executivo e Legislativo, ao passo que o sistema de governo refere-se à origem e à titularidade do poder político.",Errado
5,3625422,www.tecconcursos.com.br/questoes/3625422,CEBRASPE (CESPE) - Proc Jur (Andradina)/Pref Andradina/2025,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Julgue o seguinte item, acerca de aspectos diversos do direito constitucional.","O poder de veto atribuído ao chefe do Poder Executivo representa importante mecanismo para o adequado funcionamento do sistema de freios e contrapesos, em observância ao princípio da separação dos poderes.",Certo
6,2875889,www.tecconcursos.com.br/questoes/2875889,CEBRASPE (CESPE) - APO (MPO)/MPO/Geral/2024,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Acerca da evolução do Estado moderno, dos modelos de gestão pública e do contexto de atuação política e gestão pública, julgue o item seguinte.","A soberania é elemento essencial para a existência do Estado, devendo ser aderente ao território estatal, relacionado ao elemento território, e ao vínculo nacional, relacionado ao elemento povo.",Certo
7,3101805,www.tecconcursos.com.br/questoes/3101805,CEBRASPE (CESPE) - ERSPT (ANATEL)/ANATEL/Contabilidade (Ciências Contábeis)/2024,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Com base nas disposições da CF acerca da forma e do sistema de governo, bem como da defesa do Estado e das instituições democráticas, julgue o item a seguir.","A forma republicana de governo é uma cláusula pétrea e o sistema presidencialista de governo, um princípio constitucional sensível.",Errado
8,3118198,www.tecconcursos.com.br/questoes/3118198,CEBRASPE (CESPE) - Arqt e Urb (FNDE)/FNDE/2024,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Acerca do Poder Executivo, julgue os itens a seguir, no que se refere à forma e ao sistema de governo.","No Brasil, há identidade entre o chefe de governo e o chefe de Estado, em razão de se adotar o presidencialismo.",Certo
9,3118202,www.tecconcursos.com.br/questoes/3118202,CEBRASPE (CESPE) - Arqt e Urb (FNDE)/FNDE/2024,Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","Acerca do Poder Executivo, julgue os itens a seguir, no que se refere à forma e ao sistema de governo.","O Brasil adota a república como sistema de governo, uma vez que há alternância da chefia de governo por intermédio de eleições periódicas.",Errado
10,3202212,www.tecconcursos.com.br/questoes/3202212,"CEBRASPE (CESPE) - AJ TSE/TSE/Administrativa/""Sem Especialidade""/2024",Direito Constitucional (CF/1988 e Doutrina),"Formas de Estado e Governo, Sistemas de Governo, Separação de Poderes. Freio e Contrapesos","No que se refere aos princípios fundamentais da Constituição Federal de 1988 (CF) e à aplicabilidade das normas constitucionais, julgue o item que se segue.",É a eletividade dos cargos públicos a característica que define de forma essencial o regime republicano.,Errado
